apiImportId,id,sectorIds,isBuiltIn,name,category,nationalId,notes
10023,00d1f0d9-38af-42c0-9c05-0a2854bfee68,1101001,true,"Other roots & tubers, n.e.c.",,59,Temporary - annual crops - Agriculture
21021,02c093f7-5d5e-4f6b-ab8b-3cd95f6aa554,12,true,Graders,Machinery and equipments,,Industry
30014,0468a5f2-e1a6-4ebc-a55f-c866a2cb9d7d,13,true,Generators,,,Tourism
11016,09d80ac1-fb83-4724-b44b-146193ba1fdb,1101002,true,Lemons and Limes,,322,Permanent- perennial crops - Agriculture
30018,09f970db-332a-4821-a83c-b4c14aee496b,13,true,Water treatment units,,,Tourism
11015,0a45eb42-0617-4755-9dbf-010d07c3dca0,1101002,true,Grapefruit & pomelo,,321,Permanent- perennial crops - Agriculture
10048,0c70f0c1-1a04-4198-a027-6617c0de227e,1101001,true,Cucumbers,,221,Temporary - annual crops - Agriculture
21004,0e75023a-b773-4543-b3ca-5b6284982bb2,12,true,Specialized equipment,Machinery and equipments,,Industry
11012,13a255b2-2b17-4a8d-b051-215877ecfa3c,1101002,true,Strawberries,,345,Permanent- perennial crops - Agriculture
10060,14b32c3f-07c1-49fa-81f2-89407b1921e2,1101001,true,"Other root, bulb, or tuberous vegetables, n.e.c",,239,Temporary - annual crops - Agriculture
21011,182260b6-37be-4ee8-a57d-ed45f2e5b038,12,true,Bulldozers,Machinery and equipments,,Industry
30010,18ba3340-f521-4b7c-b447-f307cc4f07cd,13,true,Spas,,,Tourism
10054,1a875652-53ab-4c79-b0f3-db16d599ab10,1101001,true,"Other fruit-bearing vegetables, n.e.c",,229,Temporary - annual crops - Agriculture
11029,1b46c86d-ce11-4b54-9a45-c0951b15cac6,1101002,true,Oil palms,,443,Permanent- perennial crops - Agriculture
10047,1f0f97c2-adfc-4ea9-8d02-d4fc32c6f03f,1101001,true,"Other leafy or stem vegetables, n.e.c",,219,Temporary - annual crops - Agriculture
10004,25184c88-2d13-4783-88f2-5d4cd45a045b,1101001,true,Sorghum,,14,Temporary - annual crops - Agriculture
31002,25802138-528e-4496-90d0-092957368b72,13,true,Beds,Furniture and equipment,,Tourism
21017,2614814c-f51b-4a7d-9714-0da80b53cf85,12,true,Railcars,Machinery and equipments,,Industry
21007,2693cdbb-ced9-4ee4-b7a4-dc47e78d126f,12,true,Control system,Machinery and equipments,,Industry
10015,27830a75-ab3b-4eb5-aab5-4c60f4e0f97c,1101001,true,Lupins,,76,Temporary - annual crops - Agriculture
11042,281fba40-fb97-4df4-a959-5731964f3b27,1101002,true,"Other beverage crops, n.e.c",,619,Permanent- perennial crops - Agriculture
21001,28ae9842-7bdb-4c36-934f-2a14e779a9d9,12,true,Vehicles,Machinery and equipments,,Industry
11034,294bea44-ee31-4acd-8b4b-f3711b77a198,1101002,true,Cloves,,6224,Permanent- perennial crops - Agriculture
21008,2a3f01c1-5e3d-4d8d-b701-6107eed88337,12,true,Drilling machinery,Machinery and equipments,,Industry
10041,2a8128c0-8637-4adb-95fe-03785e7dff4f,1101001,true,Asparagus,,212,Temporary - annual crops - Agriculture
21016,2b0d2414-05de-48d4-beae-7307be24dea8,12,true,Conveyor system,Machinery and equipments,,Industry
10056,2dd927e8-3d6e-4122-91bc-0462c4e81508,1101001,true,Turnips,,232,Temporary - annual crops - Agriculture
10058,2f0096a4-9e15-4ff2-bdbc-ef9aaba16db3,1101001,true,Onions (incl. shallots),,234,Temporary - annual crops - Agriculture
11004,30867e26-001e-4605-a50b-8578537476f4,1101002,true,Peaches & nectarines,,354,Permanent- perennial crops - Agriculture
21018,30e0356e-9238-4d67-9c2d-58cff39b3218,12,true,Trucks,Machinery and equipments,,Industry
10040,313cd4af-4f1a-4065-8fe3-d03306d2853f,1101001,true,Artichokes,,211,Temporary - annual crops - Agriculture
11006,33e739db-4cc1-4e52-86f2-de871be86af2,1101002,true,Plums and sloes,,356,Permanent- perennial crops - Agriculture
11027,3515f327-9c2e-45ef-bf26-6a36d69c6b68,1101002,true,Coconuts,,441,Permanent- perennial crops - Agriculture
21013,36eb213e-709c-4ad0-ab6e-e3e9f7eff9a9,12,true,Crushing machinery,Machinery and equipments,,Industry
10051,37baa2fa-0fc2-4d71-bc93-28175ba0babf,1101001,true,Watermelons,,224,Temporary - annual crops - Agriculture
10021,391a09fb-ec94-42f7-b143-944aafc97ce3,1101001,true,Cassava,,53,Temporary - annual crops - Agriculture
30005,3cd27f3c-e992-4e42-b4e7-c87adf8a289a,13,true,Conference facilities,,,Tourism
11032,3d8bc735-3790-407b-8091-485368235bce,1101002,true,"Nutmeg, mace, cardamoms",,6222,Permanent- perennial crops - Agriculture
11013,3fd61e18-6f93-45cc-a44f-bb63cb7dc8f5,1101002,true,Blueberries,,346,Permanent- perennial crops - Agriculture
21027,41ff479d-0357-4596-8f6b-3ffb7f54a19c,12,true,Pile drivers,Machinery and equipments,,Industry
20005,421e99c8-9e0e-4532-ae26-875809135302,12,true,Mine shafts,,,Industry
10001,43e4bc48-7700-4d51-8e11-0fb3ace947af,1101001,true,Wheat,,11,Temporary - annual crops - Agriculture
21026,448fd98f-a6ff-4bfc-92cb-3316ada631fc,12,true,Demolition machines,Machinery and equipments,,Industry
10017,455cfd32-1e1f-404b-9e49-14b0afaac038,1101001,true,Pigeno peas,,78,Temporary - annual crops - Agriculture
10022,46c3136b-49b0-49b0-b856-af9c310192d5,1101001,true,Yams,,54,Temporary - annual crops - Agriculture
13004,4721f2d9-e447-44d6-b2f3-0b6b261065c8,1105,true,Storage facilities,,,Fisheries - Agriculture
10018,4801e89e-374a-4772-a40e-f75543c3f668,1101001,true,Leguminous crops n.e.c.,,79,Temporary - annual crops - Agriculture
11008,49a3cc04-d4b7-46a5-8cf2-dea6d4d0abfb,1101002,true,Currants 2,,341,Permanent- perennial crops - Agriculture
13006,4ad83d00-5f32-47ee-97a3-2a7ee6635452,1105,true,Market facilities,,,Fisheries - Agriculture
31004,4aee9ace-ce22-48c0-84a3-9798c34a712c,13,true,Technological equipment,Furniture and equipment,,Tourism
11019,4d86fc05-949c-4086-b218-2f8d3d252a00,1101002,true,"Other citrus fruit, n.e.c.",,329,Permanent- perennial crops - Agriculture
11033,4db2e26b-e21d-46eb-9f49-107a4af2c408,1101002,true,Cinnamon (canella),,6223,Permanent- perennial crops - Agriculture
10019,508ade0a-8088-415c-b019-2983da435218,1101001,true,Potatoes,,51,Temporary - annual crops - Agriculture
10009,50cb4070-bbff-47d0-8f49-f1624546d9d7,1101001,true,"Other cereals, n.e.c",,19,Temporary - annual crops - Agriculture
11026,51a9ce6f-a8c5-42fc-82c0-e173c721d612,1101002,true,Other nuts n.e.c,,369,Permanent- perennial crops - Agriculture
11040,527dbc0d-c2dd-4d5e-bd43-c773335e769e,1101002,true,Mate,,613,Permanent- perennial crops - Agriculture
10031,54e76c51-0276-4a5b-bc59-c91f1570a69b,1101001,true,Niger seed,,434,Temporary - annual crops - Agriculture
21006,5518ab4f-a3ce-44d8-bd9d-48bf9845da3d,12,true,Generators,Machinery and equipments,,Industry
11023,55e81bec-2bad-4fe7-bda8-8b0b2ef193e6,1101002,true,Hazelnuts,,364,Permanent- perennial crops - Agriculture
11048,58b35839-fdd0-4e61-b103-02effd461d8a,1101002,true,Vanilla,,6226,Permanent- perennial crops - Agriculture
11005,59f5ed40-fb0a-40aa-ab19-ff20cfe312f8,1101002,true,Pears & quinces,,355,Permanent- perennial crops - Agriculture
21033,5c04f3c7-c5cc-4071-af1a-6ba90ff446aa,12,true,Concrete mixers,Machinery and equipments,,Industry
10052,5f17cb11-f5cf-46a3-be54-885a2fcb7341,1101001,true,Cantaloupes and other melons,,225,Temporary - annual crops - Agriculture
30017,5f7799c8-d246-4825-9b81-b23cc874cedd,13,true,Wastewater treatment units,,,Tourism
21002,5fa6ac59-0087-4974-bf0a-b1f53bb989fc,3,true,Production machinery,Machinery and equipments,,Industry
10008,609feae0-20c1-473c-9548-2df54a505049,1101001,true,Millets,,18,Temporary - annual crops - Agriculture
12001,61099cf2-420e-4681-94ac-08bcf2ba61d6,1104,true,hatcheries,,,Aquaculture - Agriculture
12005,61275f5c-aac0-4f7c-8dbf-2bd48a706933,1104,true,processing facilities,,,Aquaculture - Agriculture
10055,61a2a82f-f852-4fc8-b45c-cfa745013db6,1101001,true,Carrots,,231,Temporary - annual crops - Agriculture
31003,63a2e871-0ca9-4f46-bffc-feb834da0935,13,true,Applicance,Furniture and equipment,,Tourism
11049,674d2a6d-ef36-40c2-84b4-545192682372,1101002,true,"Other permanent spice crops, n.e.c",,6229,Permanent- perennial crops - Agriculture
10029,6b5a5df9-1402-4ee6-9aec-e47e54221bdb,1101001,true,Linseed,,432,Temporary - annual crops - Agriculture
10044,6e6032a0-9647-47f3-a10f-6cc8e242b0f0,1101001,true,Lettuce,,215,Temporary - annual crops - Agriculture
10013,71663046-0877-41bf-9d6a-6bfa8415b80d,1101001,true,Cow peas,,74,Temporary - annual crops - Agriculture
30008,71d181ef-a581-4758-ae89-16e6f398bb03,13,true,Saunas,,,Tourism
10024,74953725-7742-4532-bd35-b0f5c709a488,1101001,true,Sugar beet,,81,Temporary - annual crops - Agriculture
10010,74dadf1e-bc16-4994-80ba-ecdd244c84b4,1101001,true,Beans,,71,Temporary - annual crops - Agriculture
11018,75335dfb-5734-4be5-9bfe-7b2f1cfc50ce,1101002,true,"Tangerines, mandarins, clementines",,324,Permanent- perennial crops - Agriculture
21009,779562d9-347c-4be6-9a55-dc8344282877,12,true,Excavators,Machinery and equipments,,Industry
21005,78274c14-d0ec-4ff1-86c7-8e7819b5ad65,12,true,Compressors,Machinery and equipments,,Industry
10016,787e27e6-ad48-4937-9e1b-0bb6a8b24ab0,1101001,true,Peas,,77,Temporary - annual crops - Agriculture
10012,7ac8bbaf-99c2-4229-a99b-4614891703d7,1101001,true,"Chick peas, dry",,73,Temporary - annual crops - Agriculture
11035,7b2733e5-136a-40ec-bbe0-01593965e210,1101002,true,Ginger,,6225,Permanent- perennial crops - Agriculture
20007,7cf4f34a-7234-4031-8942-a6a967567304,12,true,Processing plants,,,Industry
11002,7d0c9b63-2f15-4d18-bec3-884cd34ea405,1101002,true,Apricots,,352,Permanent- perennial crops - Agriculture
11021,7dee4061-1ea9-4321-8369-c4cf3e9b8de4,1101002,true,Cashew nuts,,362,Permanent- perennial crops - Agriculture
21022,7df15d3d-ddc7-4ae2-892e-94651ecf3dd4,12,true,Forklifts,Machinery and equipments,,Industry
21030,7dfa0326-d22a-4bc0-b086-26aef494f25c,12,true,Cranes,Machinery and equipments,,Industry
21035,7e9b3b49-5991-4578-abfc-2d1efbb8add3,12,true,Concrete pump trucks,Machinery and equipments,,Industry
10025,7ee76a92-3a18-455b-af99-35b29fd7e1b5,1101001,true,Sugar cane,,82,Temporary - annual crops - Agriculture
10032,80012e57-edb3-4e74-9200-f6cbb171b725,1101001,true,Rapeseed,,435,Temporary - annual crops - Agriculture
20008,811c4717-849f-45f7-b20f-e036e0dc954b,12,true,Workshops,,,Industry
10011,823e56bf-41a3-49ba-b628-e91cb59231d5,1101001,true,"Broad beans, dry",,72,Temporary - annual crops - Agriculture
11024,82a996ac-a578-4e67-a73e-f52db91b21d2,1101002,true,Pistachios,,365,Permanent- perennial crops - Agriculture
11044,840c3fb0-6822-47e4-8dfc-1f153727120a,1101002,true,"Nutmeg, mace, cardamoms",,6222,Permanent- perennial crops - Agriculture
30019,84e833a7-e9f1-46ed-b3a2-dc549ce2a5c8,13,true,Kitchens,,,Tourism
10007,85054c5a-e954-442c-998e-44ff510c26cf,1101001,true,Oats,,17,Temporary - annual crops - Agriculture
10002,857c0722-6ff0-4ab5-a709-a0f16080962a,1101001,true,Maize,,12,Temporary - annual crops - Agriculture
11045,8601a8b0-457d-4d50-b3c8-4017168c26ca,1101002,true,Cinnamon (canella),,6223,Permanent- perennial crops - Agriculture
10030,8626d134-df4a-4af0-b264-458747478ec1,1101001,true,Mustard,,433,Temporary - annual crops - Agriculture
11007,868cf501-7e0a-41ce-a8bf-559eb537d964,1101002,true,"Other pome fruits and stone fruits, n.e.c.",,359,Permanent- perennial crops - Agriculture
10034,88a908c4-117b-4cc5-8b62-f71e61d0916e,1101001,true,Sesame,,437,Temporary - annual crops - Agriculture
10053,89090ff2-e57d-4be8-bad2-671de871746b,1101001,true,"Pumpkin, squash and gourds",,226,Temporary - annual crops - Agriculture
30016,8bcb0daf-cd55-498f-b4ae-2a94ca412812,13,true,Laundry facilities,,,Tourism
30006,8dff59a8-555f-4c77-b481-2915e97265e2,13,true,Recreational amenities,,,Tourism
10035,8e854da4-418e-4ad9-98fc-833350c18efd,1101001,true,Sunflower,,438,Temporary - annual crops - Agriculture
30003,97a9bcdf-efea-4e4d-b995-abd697eac3ad,13,true,On-site restaurants,,,Tourism
21019,998b7c56-b9a3-421c-9b82-77100f4846e9,12,true,Loading and unloading equipment,Machinery and equipments,,Industry
21032,99cb1644-daf9-43a5-a875-455c710481da,12,true,Generators,Machinery and equipments,,Industry
11043,9bb969b9-219d-402c-9cbf-2bb0e2865dfb,1101002,true,Pepper (piper spp.) 2,,6221,Permanent- perennial crops - Agriculture
30020,9bc700f0-aa67-4bf1-8a03-89b1c3a2a8a0,13,true,Storage areas,,,Tourism
11014,9e28e703-75cd-4460-80fb-dd462bb3e3d5,1101002,true,Other berries,,349,Permanent- perennial crops - Agriculture
11031,9e431b88-ba3c-4216-b6e0-5ed2627f3f32,1101002,true,Pepper (piper spp.) 2,,6221,Permanent- perennial crops - Agriculture
11039,9e6e1845-e778-4f8f-9834-6064c02684a9,1101002,true,Tea,,612,Permanent- perennial crops - Agriculture
10050,9ee3e6da-783c-45a8-9635-785c4c299e7e,1101001,true,Tomatoes,,223,Temporary - annual crops - Agriculture
