id,parent,ar,zh,en,fr,ru,es
1,,التقسيم الإداري 1,行政区 1,Administrative Division 1,Division administrative 1,Административное деление 1,División administrativa 1
2,,التقسيم الإداري 2,行政区 2,Administrative Division 2,Division administrative 2,Административное деление 2,División administrativa 2
3,,التقسيم الإداري 3,行政区 3,Administrative Division 3,Division administrative 3,Административное деление 3,División administrativa 3
4,,التقسيم الإداري 4,行政区 4,Administrative Division 4,Division administrative 4,Административное деление 4,División administrativa 4
5,,التقسيم الإداري 5,行政区 5,Administrative Division 5,Division administrative 5,Административное деление 5,División administrativa 5
6,,التقسيم الإداري 6,行政区 6,Administrative Division 6,Division administrative 6,Административное деление 6,División administrativa 6
7,,التقسيم الإداري 7,行政区 7,Administrative Division 7,Division administrative 7,Административное деление 7,División administrativa 7
8,,التقسيم الإداري 8,行政区 8,Administrative Division 8,Division administrative 8,Административное деление 8,División administrativa 8
9,,التقسيم الإداري 9,行政区 9,Administrative Division 9,Division administrative 9,Административное деление 9,División administrativa 9
10,,التقسيم الإداري 10,行政区 10,Administrative Division 10,Division administrative 10,Административное деление 10,División administrativa 10
11,,التقسيم الإداري 11,行政区 11,Administrative Division 11,Division administrative 11,Административное деление 11,División administrativa 11
12,,التقسيم الإداري 12,行政区 12,Administrative Division 12,Division administrative 12,Административное деление 12,División administrativa 12
13,,التقسيم الإداري 13,行政区 13,Administrative Division 13,Division administrative 13,Административное деление 13,División administrativa 13
14,,التقسيم الإداري 14,行政区 14,Administrative Division 14,Division administrative 14,Административное деление 14,División administrativa 14
15,,التقسيم الإداري 15,行政区 15,Administrative Division 15,Division administrative 15,Административное деление 15,División administrativa 15
16,,التقسيم الإداري 16,行政区 16,Administrative Division 16,Division administrative 16,Административное деление 16,División administrativa 16
17,,التقسيم الإداري 17,行政区 17,Administrative Division 17,Division administrative 17,Административное деление 17,División administrativa 17
18,,التقسيم الإداري 18,行政区 18,Administrative Division 18,Division administrative 18,Административное деление 18,División administrativa 18
19,,التقسيم الإداري 19,行政区 19,Administrative Division 19,Division administrative 19,Административное деление 19,División administrativa 19
20,,التقسيم الإداري 20,行政区 20,Administrative Division 20,Division administrative 20,Административное деление 20,División administrativa 20
21,1,التقسيم الإداري 1.1,行政区 1.1,Administrative Division 1.1,Division administrative 1.1,Административное деление 1.1,División administrativa 1.1
