apiImportId,id,sectorId,sectorIds,isBuiltIn,name,category,nationalId,notes
10001,43e4bc48-7700-4d51-8e11-0fb3ace947af,1101001,1101001,1,Wheat,,11,Temporary - annual crops - Agriculture
10002,857c0722-6ff0-4ab5-a709-a0f16080962a,1101001,1101001,1,Maize,,12,Temporary - annual crops - Agriculture
10003,f82779c8-2a56-4bd1-bf9c-8328a6cb8350,1101001,1101001,1,Rice,,13,Temporary - annual crops - Agriculture
10004,25184c88-2d13-4783-88f2-5d4cd45a045b,1101001,1101001,1,Sorghum,,14,Temporary - annual crops - Agriculture
10005,cd7424d9-5317-4c03-99b1-dea9bf8d0037,1101001,1101001,1,Barley,,15,Temporary - annual crops - Agriculture
10006,bb4136ec-6746-4fab-bf13-33cd53dad4c1,1101001,1101001,1,Rye,,16,Temporary - annual crops - Agriculture
10007,85054c5a-e954-442c-998e-44ff510c26cf,1101001,1101001,1,Oats,,17,Temporary - annual crops - Agriculture
10008,609feae0-20c1-473c-9548-2df54a505049,1101001,1101001,1,Millets,,18,Temporary - annual crops - Agriculture
10009,50cb4070-bbff-47d0-8f49-f1624546d9d7,1101001,1101001,1,"Other cereals, n.e.c",,19,Temporary - annual crops - Agriculture
10010,74dadf1e-bc16-4994-80ba-ecdd244c84b4,1101001,1101001,1,Beans,,71,Temporary - annual crops - Agriculture
10011,823e56bf-41a3-49ba-b628-e91cb59231d5,1101001,1101001,1,"Broad beans, dry",,72,Temporary - annual crops - Agriculture
10012,7ac8bbaf-99c2-4229-a99b-4614891703d7,1101001,1101001,1,"Chick peas, dry",,73,Temporary - annual crops - Agriculture
10013,71663046-0877-41bf-9d6a-6bfa8415b80d,1101001,1101001,1,Cow peas,,74,Temporary - annual crops - Agriculture
10014,edb5c41f-c496-4a85-99ad-87c147537de2,1101001,1101001,1,Lentils,,75,Temporary - annual crops - Agriculture
10015,27830a75-ab3b-4eb5-aab5-4c60f4e0f97c,1101001,1101001,1,Lupins,,76,Temporary - annual crops - Agriculture
10016,787e27e6-ad48-4937-9e1b-0bb6a8b24ab0,1101001,1101001,1,Peas,,77,Temporary - annual crops - Agriculture
10017,455cfd32-1e1f-404b-9e49-14b0afaac038,1101001,1101001,1,Pigeno peas,,78,Temporary - annual crops - Agriculture
10018,4801e89e-374a-4772-a40e-f75543c3f668,1101001,1101001,1,Leguminous crops n.e.c.,,79,Temporary - annual crops - Agriculture
10019,508ade0a-8088-415c-b019-2983da435218,1101001,1101001,1,Potatoes,,51,Temporary - annual crops - Agriculture
10020,a4423845-5826-470f-87b8-e9434b0c24e5,1101001,1101001,1,Sweet potatoes,,52,Temporary - annual crops - Agriculture
10021,391a09fb-ec94-42f7-b143-944aafc97ce3,1101001,1101001,1,Cassava,,53,Temporary - annual crops - Agriculture
10022,46c3136b-49b0-49b0-b856-af9c310192d5,1101001,1101001,1,Yams,,54,Temporary - annual crops - Agriculture
10023,00d1f0d9-38af-42c0-9c05-0a2854bfee68,1101001,1101001,1,"Other roots & tubers, n.e.c.",,59,Temporary - annual crops - Agriculture
10024,74953725-7742-4532-bd35-b0f5c709a488,1101001,1101001,1,Sugar beet,,81,Temporary - annual crops - Agriculture
10025,7ee76a92-3a18-455b-af99-35b29fd7e1b5,1101001,1101001,1,Sugar cane,,82,Temporary - annual crops - Agriculture
10026,a9fc7194-4263-4fb6-a22a-90eb0ba13762,1101001,1101001,1,Sugar beet seeds,,83,Temporary - annual crops - Agriculture
10027,d8cd2674-d536-445d-9429-62f1d06527ac,1101001,1101001,1,"Other sugar crops ( sugar maple, sweet sorghum)",,89,Temporary - annual crops - Agriculture
10028,a2c122d0-f141-4d54-aa4e-26520011845a,1101001,1101001,1,Castor bean,,431,Temporary - annual crops - Agriculture
10029,6b5a5df9-1402-4ee6-9aec-e47e54221bdb,1101001,1101001,1,Linseed,,432,Temporary - annual crops - Agriculture
10030,8626d134-df4a-4af0-b264-458747478ec1,1101001,1101001,1,Mustard,,433,Temporary - annual crops - Agriculture
10031,54e76c51-0276-4a5b-bc59-c91f1570a69b,1101001,1101001,1,Niger seed,,434,Temporary - annual crops - Agriculture
10032,80012e57-edb3-4e74-9200-f6cbb171b725,1101001,1101001,1,Rapeseed,,435,Temporary - annual crops - Agriculture
10033,dd96cc41-8603-4f22-9cf4-3020618b2c56,1101001,1101001,1,Safflower,,436,Temporary - annual crops - Agriculture
10034,88a908c4-117b-4cc5-8b62-f71e61d0916e,1101001,1101001,1,Sesame,,437,Temporary - annual crops - Agriculture
10035,8e854da4-418e-4ad9-98fc-833350c18efd,1101001,1101001,1,Sunflower,,438,Temporary - annual crops - Agriculture
10036,c94da795-3f88-4ddf-b092-b7ac0b83d469,1101001,1101001,1,"Other temporary oilseed crops, n.e.c",,439,Temporary - annual crops - Agriculture
10037,be709642-776c-4170-97d3-b780bf73ba5d,1101001,1101001,1,Cotton,,9211,Temporary - annual crops - Agriculture
10038,b136af9c-417e-4741-9a00-58ec57af083e,1101001,1101001,1,"Jute, kenaf, and other similar",,9212,Temporary - annual crops - Agriculture
10039,c40474c8-1487-4364-9261-018bbf54405a,1101001,1101001,1,Other temporary fire crops,,9219,Temporary - annual crops - Agriculture
10040,313cd4af-4f1a-4065-8fe3-d03306d2853f,1101001,1101001,1,Artichokes,,211,Temporary - annual crops - Agriculture
10041,2a8128c0-8637-4adb-95fe-03785e7dff4f,1101001,1101001,1,Asparagus,,212,Temporary - annual crops - Agriculture
10042,e5d27d61-4d4d-49af-9ed9-09552f67c358,1101001,1101001,1,Cabbages,,213,Temporary - annual crops - Agriculture
10043,a7eb06b3-e5f1-4f44-afeb-05d0d6cc12df,1101001,1101001,1,Cauliflowers & broccoli,,214,Temporary - annual crops - Agriculture
10044,6e6032a0-9647-47f3-a10f-6cc8e242b0f0,1101001,1101001,1,Lettuce,,215,Temporary - annual crops - Agriculture
10045,ff1e4f83-bd24-4bf5-bbf3-4e50eaee75a2,1101001,1101001,1,Spinach,,216,Temporary - annual crops - Agriculture
10046,c2e55174-e66d-42a6-a57c-130f9a910453,1101001,1101001,1,Chicory,,217,Temporary - annual crops - Agriculture
