id,parent_id,sectorname,description
1,,Productive,
2,,Social,
3,,Infrastructures,
4,,Cross-cutting,
11,1,Agriculture,
12,1,Industry,
13,1,Tourism,
14,1,Commerce and Trade,
15,1,Services,
21,2,Health,
22,2,Education,
23,2,Housing,
24,2,Culture,
31,3,Transportation,
32,3,Energy and Electricity,
33,3,Information and Communication,
34,3,Water,
35,3,Sanitation,
36,3,Community infrastructure,
41,4,Environment,
42,4,Gender,
43,4,Governance,
44,4,"Employment, Livelihoods and social protection",
45,4,Disaster Risk Management,
1101,11,Crops,
1102,11,Livestock,
1103,11,Forestry and logging,
1104,11,Aquaculture,
1105,11,Fisheries,
1201,12,Mining and quarrying,
1202,12,Manufacturing,
1203,12,Construction,
1301,13,Accommodation services for visitors,
1302,13,Food and beverage services,
1303,13,Travel agency and reservation services,
1304,13,Recreation and other entertainment,
1305,13,Passenger transport,
1401,14,Wholesale trade,
1402,14,Retail trade,
1403,14,Sales and maintenance of vehicles,
1501,15,Administrative and support services,
1502,15,"Professional, scientific and technical activities",
1503,15,Real estate,
1504,15,Finance and insurance services,
2101,21,Health care network,
2102,21,Health programs and other services,
2103,21,Health care systems' management,
2201,22,0-Early childhood,
2202,22,1-Primary education,
2203,22,2-3- Secondary,
2204,22,4- Post secondary,
2205,22,5-8 Tertiary,
2206,22,Others -Non-formal education,
2301,23,Housing units,
2302,23,Collective living quarters,
2401,24,Tangible Cultural heritage,
2402,24,Intangible cultural heritage,
3101,31,Land Transportation,
3102,31,Air Transportation,
3103,31,Water transportation,
3104,31,Transportation supppor services,
3105,31,Postal and courier services,
3201,32,Electricity,
3202,32,Consumable fuels,
3301,33,Publishing,
3302,33,"Motion picture, video and TV program production, sound and music recording",
3303,33,Telecommunications;,
3304,33,"Computer programming, consultancy and related",
3305,33,Information services,
3306,33,Others,
3401,34,Water sources- generation,
3402,34,Water treatment,
3403,34,Water distribution,
3501,35,Large scale sanitation,
3502,35,Small scale sanitation,
3503,35,Urban solid waste,
3504,35,Hazardous waste,
3601,36,Connective infrastructure,
3602,36,Protective infrastructure,
3603,36,Socio-economic structures,
3604,36,Community Water and sanitation lifelines,
3605,36,Community energy lifelines off-grid,
3606,36,Commnications community lifelines,
4101,41,Biodiversity,
4102,41,Natural Ressources,
4103,41,Ecosystem services,
4201,42,Gender inequalities,
4202,42,Gender-based violence,
4301,42,Public administration,
4302,42,Executive power,
4303,42,Legislative power,
4304,42,Judiciary power,
4401,44,Employment,
4402,44,Livelihoods,
4403,44,Social protection,
4501,45,Disaster management,
4502,45,Disaster Recovery,
4503,45,Disaster mitigation,
1101001,1101,Temporary - annual crops,
1101002,1101,Permanent- perennial crops,
1102001,1102,Animal production,
1102002,1102,Hunting and trapping,
1103001,1103,Silviculture,
1103002,1103,Logging,
1103003,1103,Gathering forest products,
1104001,1104,Marine aquaculture,
1104002,1104,Freshwater aquaculture,
1105001,1105,Marine fishing,
1105002,1105,Freshwater fishing,
1201001,1201,Mining of coal and lignite,
1201002,1201,Extraction of crude petroleum and natural gas,
1201003,1201,Mining of metal ores,
1201004,1201,Mining of iron ores,
1201005,1201,Other mining and quarrying,
1201006,1201,Mining support service activities,
1202001,1202,Manufacture of food products,
1202002,1202,Manufacture of beverages,
1202003,1202,Manufacture of tobacco products,
1202004,1202,Manufacture of textiles,
1202005,1202,Manufacture of wearing apparel,
1202006,1202,Manufacture of leather and related products,
1202007,1202,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",
1202008,1202,Manufacture of paper and paper products,
1202009,1202,Printing and reproduction of recorded media,
1202010,1202,Manufacture of coke and refined petroleum products,
1202011,1202,Manufacture of chemicals and chemical products,
1202012,1202,Manufacture of basic pharmaceutical products and pharmaceutical preparations,
1202013,1202,Manufacture of rubber and plastics products,
1202014,1202,Manufacture of other non metallic mineral products,
