location,source,target,ID,fuzzy,context,translator_comments,developer_comments
routes/$lang+/analytics+/disaster-events.tsx:1164,Affected areas/zones,,analysis.affected_areas_zones,,,,
frontend/analytics/hazards/sections/HazardImpactMap.tsx:201,Affected people,,analysis.affected_people,,,,Label for affected people
components/CustomMap.tsx:170,Affected Population,,analysis.affected_population,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:291,Affected Population Icon,,analysis.affected_population_icon,,,,Alt text for the icon that represents the affected population
routes/$lang+/analytics+/disaster-events.tsx:652,Affiliated record(s),,analysis.affiliated_records,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:421,Distribution of affected people by age group,,analysis.age_group_distribution_tooltip,,,,
routes/$lang+/analytics+/disaster-events.tsx:593,Apply filters,,analysis.apply_filters,,,,
frontend/analytics/hazards/sections/HazardFilters.tsx:305,Apply Filters,,analysis.apply_filters,,,,Button label to apply selected filters
routes/$lang+/analytics+/disaster-events.tsx:1405,Apply filters,,analysis.apply_filters,,,,
frontend/analytics/hazards/sections/HazardFilters.tsx:300,Applying...,,analysis.applying_filters,,,,Button label while filters are being applied
frontend/analytics/sectors/sections/EffectDetails.tsx:206,Loading data,,analysis.aria_label_loading_data,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:256,Asset,,analysis.asset,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:373,Asset,,analysis.asset,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:372,Asset,,analysis.asset,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:415,"Children, adults, and seniors affected",,analysis.children_adults_and_seniors_affected,,,,
routes/$lang+/analytics+/disaster-events.tsx:1111,"Children, adults, and seniors affected",,analysis.children_adults_and_seniors_affected,,,,
routes/$lang+/analytics+/disaster-events.tsx:601,Clear,,analysis.clear,,,,
routes/$lang+/analytics+/disaster-events.tsx:1412,Clear,,analysis.clear,,,,
routes/$lang+/analytics+/disaster-events.tsx:1274,Damage,,analysis.damage,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:366,Damage ID,,analysis.damage_id,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:365,Damage ID,,analysis.damage_id,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:249,Damages,,analysis.damages,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:355,Damages,,analysis.damages,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:338,Damages,,analysis.damages,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:241,Damages,,analysis.damages,,,,
frontend/analytics/hazards/sections/DamagesAndLoses.tsx:49,Damages and loses,,analysis.damages_and_losses,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:584,Damages by Hazard Type,,analysis.damages_by_hazard_type,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:599,Damages by Hazard Type,,analysis.damages_by_hazard_type,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:574,Damages by Hazard Type,,analysis.damages_by_hazard_type,,,,
frontend/analytics/sectors/sections/ImpactOnSector.tsx:437,"This dashboard shows the aggregated impact data for the selected sector, including all its subsectors.",,analysis.dashboard_description,,,,Describes the purpose of the dashboard: it shows aggregated impact data for the selected sector and all its subsectors.
routes/$lang+/analytics+/sectors.tsx:847,Data shown is based on published records,,analysis.data_based_on_published_records,,,,
routes/$lang+/analytics+/disaster-events.tsx:1431,Data shown is based on published records,,analysis.data_based_on_published_records,,,,
components/CustomMap.tsx:797,"This could mean either no impacts were recorded, or the data is still being processed.",,analysis.data_not_recorded_or_still_processing,,,,
frontend/analytics/sectors/sections/ImpactOnSector.tsx:277,The system encountered an issue with the date format. Please contact your administrator to resolve this database issue.,,analysis.date_format_error_database,,,,Error message shown when the system encounters an invalid date format in the database. Indicates a backend or data configuration issue that requires admin intervention.
frontend/analytics/hazards/sections/HumanAffects.tsx:150,Dead Icon,,analysis.dead_icon,,,,Alt text for the icon that represents a deceased person
routes/$lang+/analytics+/disaster-events.tsx:836,Death,,analysis.death,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:123,Deaths,,analysis.deaths,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:328,Description,,analysis.description,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:386,Description,,analysis.description,,,,
routes/$lang+/analytics+/disaster-events.tsx:1347,Details of effects,,analysis.details_of_effects,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:391,Distribution of affected people by disability and poverty status,,analysis.disability_poverty_distribution_tooltip,,,,
routes/$lang+/analytics+/disaster-events.tsx:567,Disaster event,,analysis.disaster_event,,,,
routes/$lang+/analytics+/disaster-events.tsx:551,Disaster Events Analysis,,analysis.disaster_events_analysis,,,,
frontend/analytics/sectors/sections/ImpactOnSector.tsx:449,Disaster events impacting sectors,,analysis.disaster_events_impacting_sectors,,,,Title indicating that the following content shows disaster events affecting sectors
routes/$lang+/analytics+/disaster-events.sector.tsx:455,Disaster Record ID,,analysis.disaster_record_id,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:361,Disaster Record ID,,analysis.disaster_record_id,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:530,Disaster Record ID,,analysis.disaster_record_id,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:453,Disaster Record ID,,analysis.disaster_record_id,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:363,Disaster Record ID,,analysis.disaster_record_id,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:531,Disaster Record ID,,analysis.disaster_record_id,,,,
frontend/analytics/hazards/sections/DisasterEventsList.tsx:52,Damages,,analysis.disaster_summary.damages,,,,
frontend/analytics/hazards/sections/DisasterEventsList.tsx:48,Event name,,analysis.disaster_summary.event_name,,,,
frontend/analytics/hazards/sections/DisasterEventsList.tsx:53,Losses,,analysis.disaster_summary.losses,,,,
frontend/analytics/hazards/sections/DisasterEventsList.tsx:54,People Affected,,analysis.disaster_summary.people_affected,,,,
frontend/analytics/hazards/sections/DisasterEventsList.tsx:51,Province Affected,,analysis.disaster_summary.province_affected,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:306,Displaced,,analysis.displaced,,,,
routes/$lang+/analytics+/disaster-events.tsx:962,Displaced,,analysis.displaced,,,,
components/CustomMap.tsx:178,Displaced People,,analysis.displaced_people,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:533,Disruption ID,,analysis.disruption_id,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:534,Disruption ID,,analysis.disruption_id,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:379,Disruptions,,analysis.disruptions,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:526,Disruptions,,analysis.disruptions,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:371,Disruptions,,analysis.disruptions,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:509,Disruptions,,analysis.disruptions,,,,
frontend/analytics/sectors/sections/ImpactMap.tsx:222,Distribution of impacts across different geographic levels,,analysis.distribution_of_impacts_geographic_levels,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:393,Duration (Days),,analysis.duration_days,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:540,Duration (days),,analysis.duration_days,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:539,Duration (days),,analysis.duration_days,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:543,Duration (hours),,analysis.duration_hours,,,,
routes/$lang+/analytics+/disaster-events.sector.tsx:542,Duration (hours),,analysis.duration_hours,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:124,Effect Details,,analysis.effect_details,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:158,Effect Details,,analysis.effect_details,,,,
frontend/analytics/sectors/sections/EffectDetails.tsx:189,"View detailed information about damages, losses, and disruptions in the selected sector.",,analysis.effect_details_description,,,,
frontend/analytics/hazards/sections/ImpactByHazard.tsx:44,End,,analysis.end,,,,
frontend/analytics/sectors/sections/Filters.tsx:122,Error Loading Sectors,,analysis.error_loading_sectors,,,,
frontend/analytics/hazards/sections/ImpactByHazard.tsx:156,Events over time,,analysis.events_over_time,,,,
frontend/analytics/sectors/sections/ImpactOnSector.tsx:500,Events over time,,analysis.events_over_time,,,,
frontend/analytics/sectors/sections/ImpactOnSector.tsx:508,Distribution of events over time showing frequency and patterns,,analysis.events_over_time_tooltip,,,,
frontend/analytics/sectors/sections/ImpactMap.tsx:207,Failed to fetch geographic data,,analysis.failed_to_fetch_geographic_data,,,,
frontend/analytics/sectors/sections/ImpactByHazard.tsx:354,Failed to load hazard impact data,,analysis.failed_to_load_hazard_impact_data,,,,
frontend/analytics/sectors/sections/Filters.tsx:123,Failed to load sector data. Please try again later.,,analysis.failed_to_load_sector_data,,,,
components/CustomMap.tsx:154,Fatalities,,analysis.fatalities,,,,
frontend/analytics/hazards/sections/HumanAffects.tsx:356,Distribution of affected people by gender,,analysis.gender_distribution_tooltip,,,,Tooltip explaining that the chart shows the distribution of affected people by gender
